"tile","band","increment","decrease","average_difference","avg_diff_absoluteVals","correlation","std_dev","out_name","year"
"T20MMD","B02",0,"True",0,0,NA,0,"T20MMD_original","2020"
"T17SNB","B02",0,"True",0,0,NA,0,"T17SNB_original","2020"
"T10TES","B02",0,"True",0,0,NA,0,"T10TES_original","2020"
"T10TES","B02",0.05,"False",2.9929557317953,3.10518289744191,NA,2.79166229663783,"T10TES_B02_05_I","2020"
"T17SNB","B02",0.05,"False",1.49090564133122,3.05062150294709,NA,3.51734381652502,"T17SNB_B02_05_I","2020"
"T20MMD","B02",0.05,"False",1.38893007953644,1.84395582864034,NA,1.87619953963496,"T20MMD_B02_05_I","2020"
"T10TES","B03",0.05,"False",1.64007523594771,1.71163626991148,NA,1.60636739599313,"T10TES_B03_05_I","2020"
"T17SNB","B03",0.05,"False",1.69464452882986,2.47716904505485,NA,2.65931661376046,"T17SNB_B03_05_I","2020"
"T20MMD","B03",0.05,"False",-1.46139079445056,1.55764800711721,NA,1.33470711577677,"T20MMD_B03_05_I","2020"
"T10TES","B04",0.05,"False",0.669331516149312,1.03152302241299,NA,1.30599673365643,"T10TES_B04_05_I","2020"
"T17SNB","B04",0.05,"False",-0.537198389631589,2.73867664919283,NA,3.8428115658745,"T17SNB_B04_05_I","2020"
"T20MMD","B04",0.05,"False",-2.12828685186586,2.19594775307707,NA,1.28281643554768,"T20MMD_B04_05_I","2020"
"T10TES","B08",0.05,"False",1.96196356928813,2.04511662048518,NA,1.87573870715479,"T10TES_B08_05_I","2020"
"T17SNB","B08",0.05,"False",2.59315776572007,3.32695683981817,NA,3.12698542691335,"T17SNB_B08_05_I","2020"
"T20MMD","B08",0.05,"False",-2.74311293993327,2.78369767708804,NA,1.85441388941196,"T20MMD_B08_05_I","2020"
"T10TES","B02",0.05,"True",1.82248508924506,1.93180626564412,NA,1.73805876104864,"T10TES_B02_05_D","2020"
"T17SNB","B02",0.05,"True",-0.468898440933677,2.37466314694916,NA,3.2996473928666,"T17SNB_B02_05_D","2020"
"T20MMD","B02",0.05,"True",-0.231860520780195,0.564796468301934,NA,0.868573645247359,"T20MMD_B02_05_D","2020"
"T10TES","B03",0.05,"True",1.39429705834412,1.44516392645408,NA,1.29684804423822,"T10TES_B03_05_D","2020"
"T17SNB","B03",0.05,"True",2.35116384829284,2.7343687322215,NA,2.47621968423147,"T17SNB_B03_05_D","2020"
"T20MMD","B03",0.05,"True",-4.93882616326893,4.94633623176415,NA,1.72095151119437,"T20MMD_B03_05_D","2020"
"T10TES","B04",0.05,"True",0.394446286754712,0.862225547769176,NA,1.19475561262979,"T10TES_B04_05_D","2020"
"T17SNB","B04",0.05,"True",1.11660389309971,1.81374423228694,NA,2.02415777210691,"T17SNB_B04_05_D","2020"
"T20MMD","B04",0.05,"True",-1.2569242108178,1.46186635406479,NA,1.27733977473188,"T20MMD_B04_05_D","2020"
"T10TES","B08",0.05,"True",1.3494273357612,1.41492895616671,NA,1.08161313572845,"T10TES_B08_05_D","2020"
"T17SNB","B08",0.05,"True",2.7589762414877,3.10993276915984,NA,2.61845368568104,"T17SNB_B08_05_D","2020"
"T20MMD","B08",0.05,"True",0.438995566693707,1.46301860235941,NA,1.92008821268164,"T20MMD_B08_05_D","2020"
"T10TES","B02",0.1,"False",3.18276261452643,3.22922269997236,NA,2.37330420184944,"T10TES_B02_10_I","2020"
"T17SNB","B02",0.1,"False",1.95196785063527,2.44892721385737,NA,2.33821234206975,"T17SNB_B02_10_I","2020"
"T20MMD","B02",0.1,"False",-0.548577682078806,1.13628203016838,NA,1.36718137907062,"T20MMD_B02_10_I","2020"
"T10TES","B03",0.1,"False",0.875565895798444,1.18199034769631,NA,1.50904715281576,"T10TES_B03_10_I","2020"
"T17SNB","B03",0.1,"False",1.70833461333602,3.23440933048406,NA,3.69712370348008,"T17SNB_B03_10_I","2020"
"T20MMD","B03",0.1,"False",-6.05504641285498,6.05903812688747,NA,2.65184796545904,"T20MMD_B03_10_I","2020"
"T10TES","B04",0.1,"False",-0.100861054409137,1.07049847856852,NA,1.52596266183389,"T10TES_B04_10_I","2020"
"T17SNB","B04",0.1,"False",-2.43561365759584,2.90414969397074,NA,3.2942440291686,"T17SNB_B04_10_I","2020"
"T20MMD","B04",0.1,"False",-2.46897642280668,2.66290771011754,NA,1.25854874289231,"T20MMD_B04_10_I","2020"
"T10TES","B08",0.1,"False",2.37063196645981,2.50156041401189,NA,1.96801546794826,"T10TES_B08_10_I","2020"
"T17SNB","B08",0.1,"False",0.674957963175067,2.83057021929893,NA,3.62894073804782,"T17SNB_B08_10_I","2020"
"T20MMD","B08",0.1,"False",-4.18402396201777,4.19674275248265,NA,1.37076495447202,"T20MMD_B08_10_I","2020"
"T10TES","B02",0.1,"True",3.51507665238981,3.54490555462471,NA,2.81117918769812,"T10TES_B02_10_D","2020"
"T17SNB","B02",0.1,"True",3.38423532625526,3.79971200253874,NA,3.18565394684554,"T17SNB_B02_10_D","2020"
"T20MMD","B02",0.1,"True",2.72659072257577,2.86459872930431,NA,1.72871994168927,"T20MMD_B02_10_D","2020"
"T10TES","B03",0.1,"True",1.29217907303544,1.51607356331396,NA,1.59373432921788,"T10TES_B03_10_D","2020"
"T17SNB","B03",0.1,"True",-0.230925029757181,1.65457702347889,NA,2.28029761759046,"T17SNB_B03_10_D","2020"
"T20MMD","B03",0.1,"True",-2.09570865157657,2.12457735187213,NA,1.88497644584306,"T20MMD_B03_10_D","2020"
"T10TES","B04",0.1,"True",-1.39401124611973,1.9105901584605,NA,2.1459390970878,"T10TES_B04_10_D","2020"
"T17SNB","B04",0.1,"True",0.0596731678509538,2.26010979510304,NA,3.04059763622205,"T17SNB_B04_10_D","2020"
"T20MMD","B04",0.1,"True",-1.21821919499806,1.61483212985623,NA,1.4590220981376,"T20MMD_B04_10_D","2020"
"T10TES","B08",0.1,"True",1.98435380785723,2.07797803467275,NA,1.76057517386368,"T10TES_B08_10_D","2020"
"T17SNB","B08",0.1,"True",2.67213419831759,3.34289601861678,NA,3.23211747010326,"T17SNB_B08_10_D","2020"
"T20MMD","B08",0.1,"True",-2.72786126492857,2.79831705597648,NA,1.85763907931636,"T20MMD_B08_10_D","2020"
"T10TES","B02",0.15,"False",3.3390535994226,3.41786903381476,NA,3.03937103913993,"T10TES_B02_15_I","2020"
"T17SNB","B02",0.15,"False",1.61908851766552,2.78696455042862,NA,3.17272593785922,"T17SNB_B02_15_I","2020"
"T20MMD","B02",0.15,"False",1.44559739182727,1.53369350617038,NA,1.27537949635849,"T20MMD_B02_15_I","2020"
"T10TES","B03",0.15,"False",1.50665115596128,1.74390195562118,NA,1.96778173309462,"T10TES_B03_15_I","2020"
"T17SNB","B03",0.15,"False",2.68622553799613,2.95279368811222,NA,2.37238685647287,"T17SNB_B03_15_I","2020"
"T20MMD","B03",0.15,"False",-4.09302679735842,4.10179437460961,NA,2.43618356761324,"T20MMD_B03_15_I","2020"
"T10TES","B04",0.15,"False",-2.13535943656154,2.51443217016657,NA,2.87018234377255,"T10TES_B04_15_I","2020"
"T17SNB","B04",0.15,"False",-0.638611106070264,2.30438513623301,NA,3.05078637839969,"T17SNB_B04_15_I","2020"
"T20MMD","B04",0.15,"False",-1.96403900632191,2.42501334235307,NA,2.16928334349126,"T20MMD_B04_15_I","2020"
"T10TES","B08",0.15,"False",2.17955230231974,2.52897607406108,NA,2.26446830497254,"T10TES_B08_15_I","2020"
"T17SNB","B08",0.15,"False",2.90105327911123,3.68557802776935,NA,3.46516476750457,"T17SNB_B08_15_I","2020"
"T20MMD","B08",0.15,"False",-7.03050044161726,7.03737499726453,NA,1.87292679957418,"T20MMD_B08_15_I","2020"
"T10TES","B02",0.15,"True",4.33337460661598,4.37170545265282,NA,3.04784171027975,"T10TES_B02_15_D","2020"
"T17SNB","B02",0.15,"True",2.3616584593523,3.09548750751604,NA,2.99525816908866,"T17SNB_B02_15_D","2020"
"T20MMD","B02",0.15,"True",3.68411224713593,3.76797244250955,NA,1.66985936760611,"T20MMD_B02_15_D","2020"
"T10TES","B03",0.15,"True",1.47151349266725,1.63637151162284,NA,1.73670566620909,"T10TES_B03_15_D","2020"
"T17SNB","B03",0.15,"True",3.72576407149737,3.88348988482155,NA,2.68268940228151,"T17SNB_B03_15_D","2020"
"T20MMD","B03",0.15,"True",-5.16887813915305,5.17290672059753,NA,2.5134841719294,"T20MMD_B03_15_D","2020"
"T10TES","B04",0.15,"True",-1.1923886484876,1.6200095739123,NA,2.067716264295,"T10TES_B04_15_D","2020"
"T17SNB","B04",0.15,"True",-0.936069517368508,2.4602609478787,NA,3.09997614447769,"T17SNB_B04_15_D","2020"
"T20MMD","B04",0.15,"True",2.47331756057002,2.60587287372993,NA,1.66295589888981,"T20MMD_B04_15_D","2020"
"T10TES","B08",0.15,"True",2.71349327773417,2.94405676538919,NA,2.46104164259652,"T10TES_B08_15_D","2020"
"T17SNB","B08",0.15,"True",2.88704883572422,3.55616379234293,NA,3.16920612358934,"T17SNB_B08_15_D","2020"
"T20MMD","B08",0.15,"True",-7.42191919646642,7.42572704011499,NA,1.83788027084275,"T20MMD_B08_15_D","2020"
"T10TES","B02",0.2,"False",5.5914504859119,5.61393008929481,NA,3.23889793734521,"T10TES_B02_20_I","2020"
"T17SNB","B02",0.2,"False",6.5477929142432,6.78125668700994,NA,4.0898817280534,"T17SNB_B02_20_I","2020"
"T20MMD","B02",0.2,"False",3.67382301412194,3.74554024733867,NA,1.57329534582507,"T20MMD_B02_20_I","2020"
"T10TES","B03",0.2,"False",1.72994018918141,1.81882162640772,NA,1.80768413415857,"T10TES_B03_20_I","2020"
"T17SNB","B03",0.2,"False",2.60703253103952,2.99610123405391,NA,2.52912715148957,"T17SNB_B03_20_I","2020"
"T20MMD","B03",0.2,"False",-10.2797723393975,10.2827821835798,NA,2.65052603715582,"T20MMD_B03_20_I","2020"
"T10TES","B04",0.2,"False",-3.25876016258308,3.58515224891742,NA,3.63049956251681,"T10TES_B04_20_I","2020"
"T17SNB","B04",0.2,"False",-1.14334198342734,2.34793778889381,NA,3.0106663505392,"T17SNB_B04_20_I","2020"
"T20MMD","B04",0.2,"False",-1.58624127684448,1.81469876215998,NA,1.58990856025526,"T20MMD_B04_20_I","2020"
"T10TES","B08",0.2,"False",2.20650379567689,2.78937559199073,NA,3.24788874084764,"T10TES_B08_20_I","2020"
"T17SNB","B08",0.2,"False",1.3324631410566,2.80185161940631,NA,3.39217087789773,"T17SNB_B08_20_I","2020"
"T20MMD","B08",0.2,"False",-5.4943668027822,5.50976123067288,NA,2.09208662222189,"T20MMD_B08_20_I","2020"
"T10TES","B02",0.2,"True",5.99791800702874,6.02164312451073,NA,3.07592938132945,"T10TES_B02_20_D","2020"
"T17SNB","B02",0.2,"True",6.48794809122158,6.61182377981936,NA,3.74634847315599,"T17SNB_B02_20_D","2020"
"T20MMD","B02",0.2,"True",-1.36497402022478,1.66193309041398,NA,1.4512989234324,"T20MMD_B02_20_D","2020"
"T10TES","B03",0.2,"True",1.32313013847147,1.63942493021832,NA,2.07333526886294,"T10TES_B03_20_D","2020"
"T17SNB","B03",0.2,"True",1.9427594589195,2.78415181629552,NA,2.87621992669852,"T17SNB_B03_20_D","2020"
"T20MMD","B03",0.2,"True",-5.66476722271069,5.66948748480532,NA,3.14493132848974,"T20MMD_B03_20_D","2020"
"T10TES","B04",0.2,"True",-3.11181244333539,3.3581809437025,NA,3.25523812486708,"T10TES_B04_20_D","2020"
"T17SNB","B04",0.2,"True",-1.72007885626811,2.35524665801951,NA,2.67820692025853,"T17SNB_B04_20_D","2020"
"T20MMD","B04",0.2,"True",-3.49251413199404,3.69366249854351,NA,1.8380780286842,"T20MMD_B04_20_D","2020"
"T10TES","B08",0.2,"True",3.26888994261476,3.62161996520272,NA,3.48857446218915,"T10TES_B08_20_D","2020"
"T17SNB","B08",0.2,"True",2.26913576076605,3.467425143522,NA,3.67844204224708,"T17SNB_B08_20_D","2020"
"T20MMD","B08",0.2,"True",-8.59227633218652,8.5958322540754,NA,1.81361074110269,"T20MMD_B08_20_D","2020"
"T10TES","B02",0.25,"False",6.00323815930925,6.02977151980985,NA,3.04914686298554,"T10TES_B02_25_I","2020"
"T17SNB","B02",0.25,"False",2.68005521397237,4.06948249096723,NA,4.37342932530176,"T17SNB_B02_25_I","2020"
"T20MMD","B02",0.25,"False",-1.90158991047602,2.08803144636907,NA,1.76597312408511,"T20MMD_B02_25_I","2020"
"T10TES","B03",0.25,"False",2.67155120988797,2.75260283653179,NA,2.2797854813468,"T10TES_B03_25_I","2020"
"T17SNB","B03",0.25,"False",3.63760085600433,4.37555841261003,NA,3.69383036195072,"T17SNB_B03_25_I","2020"
"T20MMD","B03",0.25,"False",-5.83578064669874,5.8446904434918,NA,3.40155794176511,"T20MMD_B03_25_I","2020"
"T10TES","B04",0.25,"False",-3.58482430793193,3.7754071494085,NA,3.13485714270184,"T10TES_B04_25_I","2020"
"T17SNB","B04",0.25,"False",-5.79216303075355,6.17290789550501,NA,4.80779853273283,"T17SNB_B04_25_I","2020"
"T20MMD","B04",0.25,"False",-0.582658771084822,1.2907288525683,NA,1.66775220939881,"T20MMD_B04_25_I","2020"
"T10TES","B08",0.25,"False",1.24594993266603,3.34455273712164,NA,4.25403720913649,"T10TES_B08_25_I","2020"
"T17SNB","B08",0.25,"False",3.37408118403594,3.94479198723487,NA,3.43874032935889,"T17SNB_B08_25_I","2020"
"T20MMD","B08",0.25,"False",-10.9408800881258,10.9528499801171,NA,2.42122593722181,"T20MMD_B08_25_I","2020"
"T10TES","B02",0.25,"True",4.83903848644364,4.86102666435102,NA,3.33801255040699,"T10TES_B02_25_D","2020"
"T17SNB","B02",0.25,"True",3.60107278823813,4.33959086657698,NA,3.79690716591788,"T17SNB_B02_25_D","2020"
"T20MMD","B02",0.25,"True",2.07493420658654,2.31881615373324,NA,1.73258583693847,"T20MMD_B02_25_D","2020"
"T10TES","B03",0.25,"True",2.04613137708774,2.17571927569533,NA,2.30665101379499,"T10TES_B03_25_D","2020"
"T17SNB","B03",0.25,"True",5.33613836719379,5.44163267796777,NA,3.00385449548776,"T17SNB_B03_25_D","2020"
"T20MMD","B03",0.25,"True",-13.9639722299719,13.9662191753977,NA,2.93127516309785,"T20MMD_B03_25_D","2020"
"T10TES","B04",0.25,"True",-5.64756043650444,5.74060741147139,NA,4.14349637556277,"T10TES_B04_25_D","2020"
"T17SNB","B04",0.25,"True",0.102391416621198,2.27552817451109,NA,3.0192512179502,"T17SNB_B04_25_D","2020"
"T20MMD","B04",0.25,"True",1.04833116042829,1.40718514859309,NA,1.58185432465406,"T20MMD_B04_25_D","2020"
"T10TES","B08",0.25,"True",1.60333880279645,3.72618630426121,NA,4.50346284636033,"T10TES_B08_25_D","2020"
"T17SNB","B08",0.25,"True",0.720036292424336,2.93864416052436,NA,3.68827552433127,"T17SNB_B08_25_D","2020"
"T20MMD","B08",0.25,"True",-11.7448105492533,11.7490730854275,NA,1.90922696194372,"T20MMD_B08_25_D","2020"
