"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_original","2020",TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,0,0,0,0,0,0,0,1,12.7427952686946
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_original","2020",TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,0,0,0,0,0,0,0,2,18.9966520984968
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_original","2020",TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,0,0,0,0,0,0,0,4,20.5776367306709
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_original","2020",TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,0,0,0,0,0,0,0,8,22.6316003998121
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_original","2020",TRUE,10.1724941688349,0,0,0,0,0,0,1,7.83338107226773,0,0,0,0,0,0,0,0,0,16,21.5676446199417
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_original","2020",TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,0,0,0,0,0,0,0,32,22.5266800363859
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_original","2020",TRUE,4.37257268371207,0,0,0,0,0,0,1,3.77753261983977,0,0,0,0,0,0,0,0,0,64,19.1477323333422
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,1,18.9855153838793
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,2,18.1515986442566
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,4,18.9122143427531
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_original","2020",TRUE,5.49803533590288,0,0,0,0,0,0,1,5.46266648498487,0,0,0,0,0,0,0,0,0,8,16.1260084708532
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_original","2020",TRUE,4.39571909121582,0,0,0,0,0,0,1,4.98550342759475,0,0,0,0,0,0,0,0,0,16,14.332680730025
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,32,19.2798359672228
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_original","2020",TRUE,5.74381113333711,0,0,0,0,0,0,1,5.60604766809143,0,0,0,0,0,0,0,0,0,64,14.9152435143789
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_original","2020",TRUE,10.1286285183869,0,0,0,0,0,0,1,9.29496264200536,0,0,0,0,0,0,0,0,0,1,28.466602174441
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_original","2020",TRUE,9.35161919185245,0,0,0,0,0,0,1,8.51019492322069,0,0,0,0,0,0,0,0,0,2,32.3351811687152
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_original","2020",TRUE,11.6318323046987,0,0,0,0,0,0,1,9.92825057417181,0,0,0,0,0,0,0,0,0,4,36.8613744537036
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_original","2020",TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,8,35.7666581432025
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_original","2020",TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,16,35.0977472066879
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_original","2020",TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,32,33.4393767952919
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_original","2020",TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,0,64,31.169330839316
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_2.5_ 1x 1_local","2020",FALSE,11.648435446695,2.21613918475816,2.65153310227135,23.4952245266214,28.1112152188368,2.65153310227135,3.87480663345331,0.933183984412689,8.79080991020887,0.239527671002035,2.80107315255977,2.21613918475796,1,2,3,3,1,2.5,1,66.5333516279856
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_2.5_ 1x 1_local","2020",FALSE,5.58003819867505,-0.163772934662054,1.01936847401583,-2.85129386848247,17.7472491757156,1.01936847401583,1.48030666531567,0.976259879193735,4.64229666291003,-0.963751005181405,-17.1912738214285,0.761741604880938,1,1,0,-1,-2,2.5,1,29.8636185010274
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_2.5_ 1x 1_local","2020",FALSE,4.26931928768863,-0.103253396023443,0.987163775307412,-2.36138775709925,22.576269091755,0.987163775307412,1.48577257553974,0.930037777702634,2.99361546293663,-0.783917156903145,-20.7520949729455,0.642779447289579,0,1,0,-1,-1,2.5,1,33.5133497714996
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_5.0_ 1x 1_local","2020",FALSE,8.57487743701227,-0.857552200818871,1.16354042898655,-9.0915303240582,12.3355325580153,1.16354042898655,1.839252610763,0.993736675858522,7.18020629838809,-1.37053536873163,-16.0282630687086,1.04636264519769,0,0,0,-2,-4,5,1,60.7757649421692
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_5.0_ 1x 1_local","2020",FALSE,5.61139761895912,-0.13241351437799,1.60806264682343,-2.30532500641362,27.9964401595697,1.60806264682343,2.21685632540095,0.957190296430581,3.86149856449034,-1.74454910360109,-31.1190558284179,1.39482187546826,1,2,0,-1,-4,5,1,30.4120764493942
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_5.0_ 1x 1_local","2020",FALSE,4.63961895428842,0.267046270576353,1.34799005921065,6.10730318037037,30.8283053642984,1.34799005921065,1.8574647563483,0.887206427172238,2.76721306626237,-1.0103195535774,-26.7454885305598,0.973729488351038,1,1,0,0,-2,5,1,37.0723418752352
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_10.0_ 1x 1_local","2020",FALSE,10.1931113081826,0.760681670351463,3.4071952281802,8.06453585723616,36.1221377630509,3.4071952281802,4.05672187430007,0.93150924537886,5.47392854628556,-3.07681312083417,-35.982997038321,3.16024346368226,2,3,3,-1,-7,10,1,60.3802985906601
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_10.0_ 1x 1_local","2020",FALSE,5.63023393844478,-0.113577194892323,2.40420473293555,-1.97738387032123,41.8573082771043,2.40420473293555,3.20664761477672,0.910275618897187,2.89329221705568,-2.71275545103576,-48.3898035058861,2.18322710038551,2,2,1,-2,-6,10,1,29.6116970181465
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_10.0_ 1x 1_local","2020",FALSE,6.23193461959249,1.85948341320319,2.83786474176159,42.527253602876,64.9032912617691,2.83786474176159,3.60463904420115,0.612454203671308,3.09998088835024,-0.677586075709121,-17.9371029595459,1.86834497407251,1,3,2,1,0,10,1,36.3567978143692
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_15.0_ 1x 1_local","2020",FALSE,10.1863645652774,0.753934927446295,4.15894199426889,7.9930087622647,44.0919482461699,4.15894199426889,4.90662857281646,0.892789971355508,4.68959630542961,-3.86114536169012,-45.1556778581843,3.90163762705372,3,3,4,-2,-8,15,1,62.6205560922623
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_15.0_ 1x 1_local","2020",FALSE,5.65866159399398,-0.0851495393431296,2.88381378850954,-1.48245715895708,50.2073226567613,2.88381378850954,3.77984519210569,0.860733535906069,2.34824708820678,-3.25780057988465,-58.1122525665888,2.63703862231028,2,3,1,-2,-7,15,1,33.5407223184903
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_15.0_ 1x 1_local","2020",FALSE,9.42736867434155,5.04905408501343,5.17414202865872,115.319582044657,118.176570529454,5.17414202865872,6.01449729781598,0.644751018832378,3.96677489509319,0.189703464363968,5.02250137025719,5.04999972761229,2,6,6,5,5,15,1,37.002677321434
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_20.0_ 1x 1_local","2020",FALSE,10.0561573554367,0.623727717605576,4.6261931123895,6.61258807703116,49.045614862951,4.6261931123895,5.45656419871072,0.859795665088977,4.13938856352195,-4.41135310359777,-51.5902979569691,4.34862861149967,3,4,4,-3,-10,20,1,63.9242469390233
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_20.0_ 1x 1_local","2020",FALSE,5.69882530226701,-0.0449858310700995,3.20284255241226,-0.783205262599974,55.7616272203476,3.20284255241226,4.14783776907556,0.810930019350764,2.00802220285365,-3.59802546523779,-64.1811429060275,2.9297684741635,3,3,1,-2,-8,20,1,33.9539467175802
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_20.0_ 1x 1_local","2020",FALSE,5.69375715425184,1.32118447053977,2.4813969672409,30.2152660711899,56.749130242801,2.4813969672409,3.00079179698586,0.722582196783579,2.06620353553225,-1.71132908430753,-45.3028274413713,2.107283051839,2,3,2,0,-2,20,1,39.8664142370224
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_25.0_ 1x 1_local","2020",FALSE,9.87185596810003,0.439426330268887,4.94165637768023,4.65867594184278,52.390068809636,4.94165637768023,5.84808111020916,0.83301821837842,3.71296539781848,-4.83777626930124,-56.5772708103673,4.66888579706037,4,4,4,-3,-11,25,1,71.5664158423742
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_25.0_ 1x 1_local","2020",FALSE,5.74783872717022,0.00402759383310869,3.43299510713892,0.0701205826516912,59.7685931421699,3.43299510713892,4.40451452820914,0.762021472853573,1.7776679810472,-3.82837968704423,-68.2901736429151,3.13544524719865,3,3,2,-2,-8,25,1,34.1003609339396
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_25.0_ 1x 1_local","2020",FALSE,5.83514177387093,1.46256909015886,2.64849865812519,33.4487084824676,60.5707177376584,2.64849865812519,3.16669743798146,0.692869593765697,1.93208772845641,-1.84544489138336,-48.8531821456948,2.27483391173005,2,3,2,0,-2,25,1,39.218800508976
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_30.0_ 1x 1_local","2020",FALSE,9.67268053338992,0.240250895558777,5.17025727552622,2.54707328634809,54.8136320549861,5.17025727552622,6.14875235885424,0.811760061241417,3.36151041423399,-5.18923125288573,-60.6874988732258,4.88672338048769,4,4,4,-4,-11,30,1,69.8852223118146
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_30.0_ 1x 1_local","2020",FALSE,5.80576034501895,0.0619492116818456,3.61041150399971,1.07853845197472,62.8574202770155,3.61041150399971,4.59534595796407,0.714640633796053,1.61129130287864,-3.99475636521279,-71.2579806973493,3.28847414522335,3,4,2,-2,-8,30,1,31.7455331206322
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_30.0_ 1x 1_local","2020",FALSE,3.42583405199927,-0.946738631712793,2.49920764314136,-21.6517528739869,57.1564573975171,2.49920764314136,3.34793004596135,0.544757793129368,1.53127050299421,-2.24626211684556,-59.4637384478982,1.92367030988192,1,2,-1,-3,-5,30,1,37.4639424800873
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_50.0_ 1x 1_local","2020",FALSE,8.99521661612312,-0.437213021708015,5.79245289955645,-4.63521105903045,61.4099773013345,5.79245289955645,7.0189634160122,0.744971431190482,2.30346855855214,-6.24727310856758,-73.0611840676968,5.53108226331038,5,4,3,-5,-14,50,1,68.760275387764
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_50.0_ 1x 1_local","2020",FALSE,6.06054235311384,0.316731219776736,4.08862434142157,5.51430422108462,71.1831264383186,4.08862434142157,5.07956116519817,0.52573639117904,1.22670764981776,-4.37934001827367,-78.1181373679722,3.6778070622782,4,4,2,-2,-9,50,1,35.1416743238767
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_50.0_ 1x 1_local","2020",FALSE,6.21185803161656,1.83928534790449,3.16062319568025,42.0641457775162,72.2829195602316,3.16062319568025,3.69074401549186,0.562950951279331,1.42574508944573,-2.35178753039404,-62.2572395018471,2.79244940462203,4,4,2,0,-3,50,1,41.8882166107496
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_65.0_ 1x 1_local","2020",FALSE,8.67878052517533,-0.753649112655804,6.18825524222734,-7.98997863321561,65.6061638393547,6.18825524222734,7.54667211040988,0.673282731395172,1.70578204046307,-6.84495962665665,-80.051063324456,5.88821550843628,6,5,3,-6,-15,65,1,70.9063565413157
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_65.0_ 1x 1_local","2020",FALSE,6.23907212363919,0.495260990302084,4.34014947117927,8.62251523953472,75.5621898148604,4.34014947117927,5.32366471613689,0.37220840202237,1.07551607028987,-4.53053159780157,-80.8150744701744,3.87863942866139,5,5,2,-2,-9,65,1,34.4093569835027
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_65.0_ 1x 1_local","2020",FALSE,6.46673985006542,2.09423638114868,3.53476485655669,47.8955910735393,80.8407559121366,3.53476485655669,4.1461448251388,0.326764152205119,1.47625854789385,-2.30128539642147,-60.9201489206918,2.84048399978515,4,5,3,0,-2,65,1,42.0058220267296
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_80.0_ 1x 1_local","2020",FALSE,8.48309735965957,-0.949332278171564,6.57583054802322,-10.0645572203797,69.7151296167553,6.57583054802322,8.02798950390131,0.525794274476328,1.23317192578076,-7.31756974133896,-85.5781875562596,6.25543834438484,6,5,3,-7,-16,80,1,76.4681880156199
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_80.0_ 1x 1_local","2020",FALSE,6.37960847967088,0.635797346333776,4.5423179244091,11.0692592700969,79.0819513205346,4.5423179244091,5.52297152548412,0.208117253472237,0.986630652753223,-4.61941701533821,-82.4006017935071,4.01259179960268,5,5,2,-2,-9,80,1,35.9272930304209
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_80.0_ 1x 1_local","2020",FALSE,6.474057187616,2.10148450390393,3.61192483368879,48.0605962648032,82.6041119257615,3.61192483368879,4.19567223793754,0.275420905256834,1.02893026016995,-2.74860235966983,-72.7618431468743,3.15360205516834,5,5,3,0,-3,80,1,43.1240975737572
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_100.0_ 1x 1_local","2020",FALSE,8.35053426258435,-1.08189537524679,7.11641299565942,-11.4699543679348,75.4462346277915,7.11641299565942,8.65423796708626,0.0141795665113941,0.911723712733281,-7.63901795438644,-89.337489679531,6.43002452021192,7,5,2,-7,-16,100,1,76.3874600768089
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_100.0_ 1x 1_local","2020",FALSE,6.47015450694624,0.726343373609132,4.73612520069993,12.6456695171161,82.4561443744457,4.73612520069993,5.72704635120155,0.00334376276194428,0.937476163320807,-4.66857150477063,-83.2774136285579,4.09260842907656,5,5,2,-2,-9,100,1,37.9888918876648
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_100.0_ 1x 1_local","2020",FALSE,6.53969997937537,2.1671272956633,3.83892166784854,49.5618358440536,87.7954912481754,3.83892166784854,4.45992705527533,-0.00230071799600829,0.952990609779204,-2.82454201006057,-74.7721408208614,3.23007566006939,5,5,3,0,-3,100,1,47.3125680843989
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_2.5_ 2x 2_local","2020",FALSE,8.91212599179635,-0.520303646034783,0.762947340804795,-5.51611478709551,8.08855586629348,0.762947340804795,1.34129959636119,0.991125679062845,7.98861729585976,-0.562124371259957,-6.57398379162244,0.532945742871439,0,0,0,-1,-2,2.5,2,34.639001472791
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_2.5_ 2x 2_local","2020",FALSE,5.32150280686732,-0.422308326469792,0.767631848230792,-7.3524062102027,13.3645036441998,0.767631848230792,1.23396909217688,0.979730214490778,5.2040055074123,-0.402042160679132,-7.17157941712626,0.422308326469913,0,0,-1,-1,-1,2.5,2,18.8291640082995
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_2.5_ 2x 2_local","2020",FALSE,3.64920997648685,-0.723362707225217,0.964755864005651,-16.5431831452399,22.0638039385689,0.964755864005651,1.56426847967821,0.939279690546688,3.05483762765109,-0.722694992188683,-19.1314030855235,0.747548520511285,0,0,-1,-1,-2,2.5,2,22.2352603991826
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_5.0_ 2x 2_local","2020",FALSE,8.47224509144239,-0.960184546388744,1.31913712722364,-10.1796099547637,13.9851255495499,1.31913712722364,2.09133687258174,0.98235891512175,7.45394418946309,-1.09679747765663,-12.8269280064226,0.98896791241112,0,0,0,-2,-3,5,2,36.2811973174413
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_5.0_ 2x 2_local","2020",FALSE,5.20800373920764,-0.535807394129471,1.09272141140294,-9.32842988202803,19.0243269849312,1.09272141140294,1.63819901162747,0.969949943005353,4.7053470387762,-0.900700629315234,-16.0665888455043,0.629977331400209,0,1,0,-1,-2,5,2,19.0877795616786
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_5.0_ 2x 2_local","2020",FALSE,3.5436765147033,-0.828896169008773,1.21498804193961,-18.9567156218221,27.7865716552972,1.21498804193961,1.88703865682808,0.905679902751174,2.86540729088742,-0.912125328952349,-24.1460609542278,0.886847620403137,0,0,-1,-1,-2,5,2,22.6854549924533
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_10.0_ 2x 2_local","2020",FALSE,7.78012317475595,-1.65230646307519,2.20814657620525,-17.5172943400309,23.4101568841703,2.20814657620525,3.32395525944692,0.963345176893716,6.48895948800538,-2.06178217911434,-24.1123198358633,1.74307390485481,0,-1,0,-3,-6,10,2,36.4183139761289
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_10.0_ 2x 2_local","2020",FALSE,5.04376833512706,-0.700042798210046,1.65869192711982,-12.1877753630685,28.8778981170318,1.65869192711982,2.41525901906263,0.942109929511186,3.93614066047211,-1.66990700761932,-29.7875991516111,1.15810140075566,1,1,0,-2,-4,10,2,18.9684802015622
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_10.0_ 2x 2_local","2020",FALSE,3.43478806417344,-0.93778461953863,1.57164861687593,-21.4469761253346,35.9433388661636,1.57164861687593,2.33024813084352,0.838742488118168,2.60315396268208,-1.17437865715769,-31.0885113470576,1.04774639223184,0,0,-1,-2,-3,10,2,21.791639093558
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_15.0_ 2x 2_local","2020",FALSE,7.279501259419,-2.15292837841214,2.89900795796959,-22.8247488831221,30.734477428195,2.89900795796959,4.29453323045661,0.943042428835901,5.67285744515736,-2.87788422196236,-33.656545057708,2.32851810671315,0,0,0,-4,-8,15,2,37.7562631368637
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_15.0_ 2x 2_local","2020",FALSE,4.95824718364784,-0.785563949689272,2.10585739346873,-13.676702305371,36.663068206514,2.10585739346873,3.03237580584698,0.903842430650448,3.38628560609396,-2.21976206199747,-39.5958470819279,1.57248876928248,1,1,0,-2,-6,15,2,18.2887070655823
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_15.0_ 2x 2_local","2020",FALSE,3.41351568081926,-0.959057002892812,1.81534662283106,-21.9334719458254,41.5166711714883,1.81534662283106,2.61379539497461,0.77664695943602,2.43418942121236,-1.34334319862741,-35.5613924171591,1.11787292861994,0,0,-1,-2,-3,15,2,21.9468010981878
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_20.0_ 2x 2_local","2020",FALSE,6.91746335809403,-2.51496627973711,3.44893545063269,-26.66297418907,36.5646560118494,3.44893545063269,5.06611520146293,0.921492554144087,4.99657555239873,-3.55416611472099,-41.5655887300147,2.79448977111842,0,0,0,-5,-10,20,2,36.1764790217082
"shuffle","2026-06-04_shuffle_3","55HEV","55HEV_shuffle_20.0_ 2x 2_local","2020",FALSE,4.93553819578718,-0.808272937549928,2.45767374213087,-14.0720667651955,42.7882060373907,2.45767374213087,3.49926532791423,0.857935468047258,2.99405684403103,-2.6119908240604,-46.59237628191,1.90380572569928,1,2,1,-2,-7,20,2,18.6047603209813
"shuffle","2026-06-04_shuffle_3","34UFD","34UFD_shuffle_20.0_ 2x 2_local","2020",FALSE,3.44151621225881,-0.931056471453261,1.99505147205939,-21.2931045130815,45.6264907726064,1.99505147205939,2.80891486745835,0.720654210631171,2.31698890525401,-1.46054371458576,-38.663960356422,1.16062124284392,0,0,-1,-2,-4,20,2,22.1311202168465
"shuffle","2026-06-04_shuffle_3","32UQU","32UQU_shuffle_25.0_ 2x 2_local","2020",FALSE,6.65826333120114,-2.77416630663,3.89121042183149,-29.4109409043827,41.2535324538739,3.89121042183149,5.68082243229361,0.898750110393814,4.44160525769631,-4.10913640942341,-48.0559063692022,3.22860777504918,1,0,0,-6,-11,25,2,36.7544063727061
